Gene	score_fdr_pos	score_tophalf_pos	score_pos	n_fdr_guides_pos	pval_pos	qval_pos	score_fdr_neg	score_tophalf_neg	score_neg	n_fdr_guides_neg	pval_neg	qval_neg	z_pos
DGKA_PIK3IP1	-0.454113955410738	-1.50169642292392	-1.63793060954714	3	0.0139978150849202	0.513832804207617	3.23196702671541	3.7222376953019	5.33822120865961	16	1.49086907413104e-100	1.76898014967659e-100	1.88346286396543
PTPN6_ZC3H12A	2.0184850355657	-1.84048328460495	-1.63863478104838	1	0.0140666000369704	0.513832804207617	4.24218598400339	4.22945128744297	6.35054427944466	15	8.56046054926446e-128	1.89680222049127e-127	1.88195692576682
DUSP1_TBX21	0.284641469373564	-1.70906411872666	-1.65213582485195	2	0.0154428594134094	0.538699122190623	3.06378553996647	3.40084476880881	4.93273753879205	16	1.42908788492171e-90	1.53214998815296e-90	1.85308365050766
ITCH_TOX2	-0.49236567715257	-1.50530458490948	-1.65301428805526	3	0.0155362817241537	0.538699122190623	3.34758621238652	3.83851731014113	5.5123104163344	16	5.30664472708338e-105	6.76088219589049e-105	1.85120497281109
CMIP_TIGIT	-0.695691258618068	-1.37508594271724	-1.65336244616446	4	0.0155734414384264	0.538699122190623	3.74643427381996	4.45788033625813	6.3310974731681	16	3.06922386372034e-127	6.61720524412555e-127	1.85046040334913
CBLB_CISH	-0.415497481543127	-1.48731874917494	-1.65351774179219	4	0.0155900410802136	0.538699122190623	3.83845180189231	4.68252781286552	6.60175371381167	15	4.56238248421054e-135	1.28197934199191e-134	1.85012828877553
PTPN6_TIGIT	0.0540042053089823	-1.67234558820682	-1.66154474714502	2	0.0164689763763137	0.561482301256456	3.87588188093884	4.56566541361643	6.50360635408585	14	3.35097298520093e-132	8.52580887876495e-132	1.83296176902854
HAVCR2_STAT5A	-0.665058230107224	-1.53794055810028	-1.67095220412172	2	0.0175527395845825	0.578454694313436	3.41494531169474	3.92864555129457	5.63611820714193	16	3.17273683393498e-108	4.33138712459784e-108	1.81284302126882
KLRG1_PDCD1	-0.0745628530185102	-1.64170509975513	-1.67153024096253	4	0.0176212715550815	0.578454694313436	3.57185912143938	4.36615049584945	6.15208005656914	16	3.422076179243e-122	6.43400646347379e-122	1.81160683412229
DOK2_LAG3	-0.666587704213324	-1.47356118943956	-1.67353750070356	3	0.0178610281537065	0.578454694313436	3.40398990182495	3.90200613001043	5.60400108092291	16	2.19977740395468e-107	2.93571546028817e-107	1.80731411691742
PIK3IP1_TRAF6	-0.681556717537055	-1.47101464931682	-1.67548166457794	3	0.0180958953629998	0.578454694313436	3.15998903383787	3.73173808189759	5.31173259881652	16	6.9459193517173e-100	8.15085625623733e-100	1.80315633626648
DUSP10_LAG3	-0.532462084487875	-1.51575968586891	-1.67549831121527	3	0.0180979176945932	0.578454694313436	3.52894225158839	4.24732914377028	6.01180026956448	15	2.61167317767047e-118	4.41377945492623e-118	1.80312073583819
DUSP4	-0.531900115179802	-1.41273873817512	-1.67868879576502	13	0.0184890900428941	0.583661768391112	2.9158290350824	3.81764328213695	5.27555779967815	95	5.63288450104109e-99	6.54992527019648e-99	1.79629757905452
HFE_ITCH	-0.593289816027217	-1.51074345619351	-1.68873040100167	3	0.0197675636751871	0.604107013836015	3.58997907983573	4.10214478746549	5.89713432738335	16	3.49404955368656e-115	5.49126288185405e-115	1.77482264450428
HAVCR2_VSIR	-0.419691222961172	-1.60681635044625	-1.69075459503848	2	0.0200341703360571	0.604107013836015	3.2107055495847	3.66967009410835	5.2750228689007	16	5.80952796529031e-99	6.74306082943591e-99	1.77049371168596
ARG2_NEDD4	-0.692728044132877	-1.48710272200016	-1.69492113524002	3	0.0205925559734853	0.604107013836015	3.6317015591178	4.19407064714979	6.00992142670869	16	2.94095882894134e-118	4.96371731062905e-118	1.76158316640756
CISH_NR4A1	-0.92922936413826	-1.41770708942435	-1.69647589866583	3	0.0208042710238457	0.604107013836015	3.16811080550266	3.83593919270719	5.41999459545852	16	1.24748599244023e-102	1.52404284886271e-102	1.75825815591138
PTPN11_TOX2	0.778560516873204	-1.85229128290756	-1.69657917953292	2	0.020818400014672	0.604107013836015	4.10768788328594	4.73729919171758	6.79114313336055	16	1.09842172424484e-140	3.76496561513948e-140	1.75803727988521
NR4A3_SOCS3	-0.931950219334936	-1.23156622115802	-1.69754133082549	5	0.0209504146712857	0.604107013836015	3.13101996586835	3.73275294260429	5.29826292553846	16	1.51596952700702e-99	1.77244356678415e-99	1.75597962719438
DLG1_LAG3	-0.049747167599555	-1.69443587770425	-1.6994105944642	1	0.0212089182308304	0.604107013836015	3.54721619583324	4.04559527939621	5.81920337731283	15	4.40422598247471e-113	6.62057956330855e-113	1.75198202787113
LAG3_NR4A3	-0.414672645870537	-1.57515114697414	-1.6995529407353	3	0.0212287136024013	0.604107013836015	3.56108293660122	4.11029567316666	5.89083714146727	16	5.17359189367845e-115	8.10096415929932e-115	1.75167760673693
